No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ,gps_latitude,gps_longtitude,gps_time,highte,accel
74,26.799,101185.0,-0.006,-0.008,-0.987,-50.0,-55.0,-10.0,-4.516,-0.854,0.122,0.0,0.0,0,12.138494473228928,0.48713449999999997
75,26.799,101181.0,-0.008,-0.012,-0.994,-50.0,-55.0,-10.0,-4.577,-1.037,0.366,0.0,0.0,0,12.485602279981899,0.494122
76,26.799,101186.0,-0.006,-0.014,-1.024,-50.0,-55.0,-10.0,-4.211,-1.831,0.366,0.0,0.0,0,12.051720073398508,0.524404
77,26.799,101184.0,-0.013,-0.015,-0.995,-50.0,-55.0,-10.0,-4.15,-1.708,0.122,0.0,0.0,0,12.225269893781984,0.4952095
78,26.799,101182.0,-0.012,-0.006,-0.895,-50.0,-55.0,-10.0,-4.821,0.488,0.305,0.0,0.0,0,12.398823797137977,0.4006025
79,26.799,101182.0,0.009,-0.005,-1.035,-50.0,-55.0,-10.0,-4.821,-0.61,0.244,0.0,0.0,0,12.398823797137977,0.5356654999999999
80,26.799,101184.0,0.0,-0.038,-1.165,-50.0,-55.0,-10.0,-2.685,-4.089,0.549,0.0,0.0,0,12.225269893781984,0.6793345000000001
81,26.799,101182.0,-0.031,0.006,-0.891,-50.0,-55.0,-10.0,-5.065,-1.22,-0.122,0.0,0.0,0,12.398823797137977,0.39743900000000004
82,26.799,101188.0,0.069,-0.026,-1.287,-50.0,-55.0,-10.0,-2.807,-1.892,0.976,0.0,0.0,0,11.878174335803108,0.8309029999999998
83,26.799,101192.0,-0.091,0.023,-0.961,-50.0,-55.0,-10.0,-3.112,-5.371,-0.427,0.0,0.0,0,11.531095108259294,0.46616549999999995
84,26.799,101185.0,-0.009,0.035,-0.973,-50.0,-55.0,-10.0,-3.662,-4.15,-0.732,0.0,0.0,0,12.138494473228928,0.4740175
85,26.799,101186.0,-0.003,-0.026,-0.712,-50.0,-55.0,-10.0,-6.103,1.831,0.183,0.0,0.0,0,12.051720073398508,0.2538145
86,26.799,101186.0,-0.084,-0.02,-0.657,-50.0,-55.0,-10.0,-5.371,-1.647,-0.732,0.0,0.0,0,12.051720073398508,0.21955250000000004
87,26.799,101186.0,-0.015,0.022,-1.328,-50.0,-55.0,-10.0,-2.563,-1.77,0.854,0.0,0.0,0,12.051720073398508,0.8821465000000002
88,26.799,101190.0,0.078,-0.026,-0.91,-50.0,-55.0,-10.0,-6.164,3.417,0.305,0.0,0.0,0,11.70463268081135,0.41743
89,26.799,101194.0,-0.023,-0.014,-0.604,-50.0,-55.0,-10.0,-4.882,-1.953,-0.732,0.0,0.0,0,11.357561617962494,0.18277049999999997
90,26.799,101191.0,0.222,-0.03,-1.445,-50.0,-55.0,-10.0,-4.089,1.159,1.708,0.0,0.0,0,11.61786338424573,1.0691045
91,26.799,101186.0,-0.166,-0.023,-0.72,-50.0,-55.0,-10.0,-4.882,-3.417,-0.854,0.0,0.0,0,12.051720073398508,0.2732425
92,26.799,101185.0,0.082,-0.039,-1.115,-50.0,-55.0,-10.0,-5.493,3.845,1.281,0.0,0.0,0,12.138494473228928,0.625735
93,26.799,101187.0,-0.08,0.026,-0.98,-50.0,-55.0,-10.0,-3.051,-6.958,-1.098,0.0,0.0,0,11.964946694259984,0.48373799999999995
94,26.799,101188.0,-0.118,0.017,-1.197,-50.0,-55.0,-10.0,-2.258,-6.896,-0.488,0.0,0.0,0,11.878174335803108,0.7235110000000001
95,26.799,101183.0,0.157,-0.032,-0.986,-50.0,-55.0,-10.0,-6.53,4.211,0.793,0.0,0.0,0,12.31204633507817,0.49893449999999995
96,26.799,101186.0,-0.155,0.03,-1.046,-50.0,-55.0,-10.0,-1.953,-6.042,-0.244,0.0,0.0,0,12.051720073398508,0.5595205000000001
97,26.799,101187.0,-0.001,-0.019,-0.682,-50.0,-55.0,-10.0,-5.737,0.671,-0.488,0.0,0.0,0,11.964946694259984,0.23274300000000003
98,26.799,101186.0,-0.022,-0.03,-1.284,-50.0,-55.0,-10.0,-3.906,1.708,1.586,0.0,0.0,0,12.051720073398508,0.8250200000000001
99,26.799,101188.0,0.03,-0.001,-0.743,-50.0,-55.0,-10.0,-6.042,1.953,0.061,0.0,0.0,0,11.878174335803108,0.276475
100,26.799,101186.0,-0.041,-0.017,-1.3,-50.0,-55.0,-10.0,-4.15,2.624,1.708,0.0,0.0,0,12.051720073398508,0.8459850000000001
101,26.799,101189.0,-0.105,0.052,-1.005,-50.0,-55.0,-10.0,-2.746,-6.713,-0.915,0.0,0.0,0,11.791402997986898,0.5118769999999999
102,26.799,101192.0,-0.026,-0.012,-0.583,-50.0,-55.0,-10.0,-5.92,1.586,0.122,0.0,0.0,0,11.531095108259294,0.17035449999999996
103,26.799,101188.0,-0.096,-0.021,-0.662,-50.0,-55.0,-10.0,-4.089,-7.08,-1.098,0.0,0.0,0,11.878174335803108,0.22395050000000002
104,26.799,101191.0,0.182,-0.029,-1.011,-50.0,-55.0,-10.0,-6.896,5.859,1.403,0.0,0.0,0,11.61786338424573,0.5280429999999999
105,26.799,101182.0,-0.007,0.003,-1.358,-50.0,-55.0,-10.0,-2.502,-1.281,0.793,0.0,0.0,0,12.398823797137977,0.9221110000000001
106,26.799,101181.0,-0.168,0.005,-0.826,-50.0,-55.0,-10.0,-3.601,-7.812,-0.854,0.0,0.0,0,12.485602279981899,0.3552624999999999
107,26.799,101182.0,0.005,0.0,-0.648,-50.0,-55.0,-10.0,-5.493,0.61,0.061,0.0,0.0,0,12.398823797137977,0.2099645
108,26.799,101184.0,-0.076,0.031,-1.218,-50.0,-55.0,-10.0,-2.319,-3.845,0.366,0.0,0.0,0,12.225269893781984,0.7451304999999999
109,26.799,101184.0,-0.099,-0.037,-0.561,-50.0,-55.0,-10.0,-4.211,-3.479,-0.915,0.0,0.0,0,12.225269893781984,0.16294550000000005
110,26.799,101192.0,0.145,-0.036,-0.972,-50.0,-55.0,-10.0,-6.835,4.516,0.854,0.0,0.0,0,11.531095108259294,0.4835525
111,26.799,101194.0,-0.026,-0.056,-1.293,-50.0,-55.0,-10.0,-5.126,4.15,1.708,0.0,0.0,0,11.357561617962494,0.8378304999999999
112,26.799,101184.0,0.052,-0.002,-0.678,-50.0,-55.0,-10.0,-5.92,2.075,-0.122,0.0,0.0,0,12.225269893781984,0.231196
113,26.799,101189.0,0.196,-0.073,-1.401,-50.0,-55.0,-10.0,-4.76,3.417,1.647,0.0,0.0,0,11.791402997986898,1.003273
114,26.799,101185.0,-0.014,0.014,-1.294,-50.0,-55.0,-10.0,-2.319,-6.53,0.122,0.0,0.0,0,12.138494473228928,0.837414
115,26.799,101185.0,-0.183,0.0,-0.877,-50.0,-55.0,-10.0,-3.54,-7.446,-1.159,0.0,0.0,0,12.138494473228928,0.40130899999999997
