No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
140,26.1,100701.0,0.09,0.082,-0.98,-50.0,-55.0,-10.0,-11.596,24.414,5.065,0.0,0.0,0
141,26.1,100691.0,-0.023,0.067,-1.102,-50.0,-55.0,-10.0,18.371,-8.483,17.211,0.0,0.0,0
142,26.1,100694.0,0.081,0.071,-0.906,-50.0,-55.0,-10.0,0.976,-14.099,-19.226,0.0,0.0,0
143,26.1,100696.0,-0.017,0.095,-0.939,-50.0,-55.0,-10.0,-9.033,-10.681,-20.69,0.0,0.0,0
144,26.1,100694.0,0.044,0.022,-0.97,-50.0,-55.0,-10.0,2.807,4.15,-12.878,0.0,0.0,0
145,26.1,100696.0,0.056,0.027,-0.938,-50.0,-55.0,-10.0,-7.568,4.394,-23.01,0.0,0.0,0
146,26.1,100696.0,0.083,0.068,-0.901,-50.0,-55.0,-10.0,-13.122,-6.408,-12.695,0.0,0.0,0
147,26.1,100696.0,0.039,0.058,-1.023,-50.0,-55.0,-10.0,-17.822,0.976,-2.319,0.0,0.0,0
148,26.1,100695.0,0.084,0.065,-0.933,-50.0,-55.0,-10.0,1.098,1.892,2.502,0.0,0.0,0
149,26.1,100698.0,0.063,0.03,-1.007,-50.0,-55.0,-10.0,-17.395,-1.098,5.126,0.0,0.0,0
150,26.1,100696.0,0.037,0.01,-1.068,-50.0,-55.0,-10.0,15.93,-5.798,14.587,0.0,0.0,0
151,26.1,100702.0,0.078,-0.021,-1.042,-50.0,-55.0,-10.0,-8.666,17.883,19.897,0.0,0.0,0
152,26.1,100703.0,0.083,0.044,-0.978,-50.0,-55.0,-10.0,7.263,1.281,16.052,0.0,0.0,0
153,26.1,100699.0,0.061,0.053,-1.014,-50.0,-55.0,-10.0,-36.437,1.159,12.084,0.0,0.0,0
154,26.1,100699.0,0.078,0.0,-0.988,-50.0,-55.0,-10.0,-0.61,-4.76,2.563,0.0,0.0,0
155,26.1,100696.0,0.038,0.09,-0.917,-50.0,-55.0,-10.0,-3.112,-0.793,2.319,0.0,0.0,0
156,26.1,100702.0,0.006,0.083,-0.958,-50.0,-55.0,-10.0,-19.104,-3.601,-0.122,0.0,0.0,0
157,26.1,100693.0,0.063,0.059,-1.007,-50.0,-55.0,-10.0,-19.531,-5.615,-3.173,0.0,0.0,0
158,26.1,100696.0,0.07,0.052,-0.96,-50.0,-55.0,-10.0,-0.854,1.831,-0.854,0.0,0.0,0
159,26.1,100704.0,0.063,0.042,-1.025,-50.0,-55.0,-10.0,8.3,-6.53,3.723,0.0,0.0,0
160,26.1,100703.0,0.0,0.033,-0.947,-50.0,-55.0,-10.0,3.051,-4.394,-7.019,0.0,0.0,0
161,26.1,100700.0,0.024,0.023,-1.067,-50.0,-55.0,-10.0,4.333,14.709,-15.38,0.0,0.0,0
162,26.1,100705.0,-0.004,0.082,-0.922,-50.0,-55.0,-10.0,14.526,11.718,-23.864,0.0,0.0,0
163,26.1,100698.0,0.028,0.032,-0.997,-50.0,-55.0,-10.0,-36.865,-14.648,-14.831,0.0,0.0,0
164,26.1,100694.0,0.034,0.005,-0.997,-50.0,-55.0,-10.0,7.446,-5.554,-13.305,0.0,0.0,0
165,26.1,100695.0,0.021,0.045,-0.96,-50.0,-55.0,-10.0,-7.019,-5.31,-7.385,0.0,0.0,0
166,26.1,100701.0,0.032,0.052,-0.987,-50.0,-55.0,-10.0,-11.718,-0.671,-0.732,0.0,0.0,0
167,26.1,100701.0,0.025,0.005,-1.05,-50.0,-55.0,-10.0,11.108,3.417,12.634,0.0,0.0,0
