No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gryoY,gyroZ,gps_latitude,gps_longtitude,gps_time
138,26.6,100698.0,0.101,0.011,-0.991,-50.0,-55.0,-10.0,-4.638,-0.976,0.122,0.0,0.0,0
139,26.6,100696.0,0.059,0.004,-0.97,-50.0,-55.0,-10.0,-4.577,-0.366,0.427,0.0,0.0,0
140,26.6,100704.0,0.086,0.011,-0.982,-50.0,-55.0,-10.0,-4.821,-0.732,0.549,0.0,0.0,0
141,26.6,100698.0,0.083,0.013,-0.986,-50.0,-55.0,-10.0,-4.638,-0.976,0.549,0.0,0.0,0
142,26.6,100705.0,0.085,0.01,-0.968,-50.0,-55.0,-10.0,-4.699,-0.671,0.427,0.0,0.0,0
143,26.6,100699.0,0.101,0.013,-0.991,-50.0,-55.0,-10.0,-4.516,-0.427,0.549,0.0,0.0,0
144,26.6,100702.0,0.093,0.01,-0.991,-50.0,-55.0,-10.0,-4.577,-0.305,0.305,0.0,0.0,0
145,26.6,100701.0,0.067,0.015,-0.978,-50.0,-55.0,-10.0,-4.699,-0.732,0.427,0.0,0.0,0
146,26.6,100704.0,0.094,0.01,-0.986,-50.0,-55.0,-10.0,-4.516,-0.976,0.244,0.0,0.0,0
147,26.6,100698.0,0.085,0.008,-0.99,-50.0,-55.0,-10.0,-4.272,-0.732,0.427,0.0,0.0,0
148,26.6,100700.0,0.083,0.01,-0.974,-50.0,-55.0,-10.0,-4.516,-0.915,0.305,0.0,0.0,0
149,26.6,100700.0,0.083,0.015,-0.999,-50.0,-55.0,-10.0,-4.516,-0.976,0.122,0.0,0.0,0
150,26.6,100707.0,0.086,0.01,-0.985,-50.0,-55.0,-10.0,-4.577,-0.976,0.427,0.0,0.0,0
151,26.6,100706.0,0.091,0.012,-0.979,-50.0,-55.0,-10.0,-4.638,-0.854,0.305,0.0,0.0,0
152,26.6,100704.0,0.088,0.011,-0.98,-50.0,-55.0,-10.0,-4.577,-0.976,0.244,0.0,0.0,0
153,26.6,100704.0,0.087,0.015,-0.986,-50.0,-55.0,-10.0,-4.272,-1.037,0.549,0.0,0.0,0
154,26.6,100706.0,0.093,0.012,-0.981,-50.0,-55.0,-10.0,-4.638,-0.915,0.305,0.0,0.0,0
155,26.6,100710.0,0.09,0.013,-0.987,-50.0,-55.0,-10.0,-4.333,-0.793,0.244,0.0,0.0,0
156,26.6,100708.0,0.088,0.01,-0.983,-50.0,-55.0,-10.0,-4.577,-0.793,0.366,0.0,0.0,0
157,26.6,100713.0,0.087,0.011,-0.979,-50.0,-55.0,-10.0,-4.638,-0.915,0.183,0.0,0.0,0
158,26.6,100709.0,0.092,0.011,-0.983,-50.0,-55.0,-10.0,-4.577,-0.976,0.244,0.0,0.0,0
159,26.6,100698.0,0.089,0.01,-0.981,-50.0,-55.0,-10.0,-4.516,-0.854,0.122,0.0,0.0,0
160,26.6,100703.0,0.089,0.008,-0.984,-50.0,-55.0,-10.0,-4.272,-0.854,0.183,0.0,0.0,0
161,26.6,100705.0,0.089,0.012,-0.98,-50.0,-55.0,-10.0,-4.76,-0.732,0.305,0.0,0.0,0
162,26.6,100704.0,0.083,0.009,-0.984,-50.0,-55.0,-10.0,-4.394,-0.793,0.305,0.0,0.0,0
163,26.6,100703.0,0.088,0.009,-0.985,-50.0,-55.0,-10.0,-4.638,-0.915,0.183,0.0,0.0,0
164,26.6,100697.0,0.083,0.013,-0.983,-50.0,-55.0,-10.0,-4.394,-1.098,0.305,0.0,0.0,0
165,26.6,100703.0,0.088,0.008,-0.987,-50.0,-55.0,-10.0,-4.394,-0.976,0.183,0.0,0.0,0
166,26.6,100703.0,0.09,0.01,-0.983,-50.0,-55.0,-10.0,-4.638,-0.732,0.183,0.0,0.0,0
167,26.6,100701.0,0.086,0.01,-0.983,-50.0,-55.0,-10.0,-4.577,-0.732,0.366,0.0,0.0,0
168,26.6,100705.0,0.087,0.015,-0.984,-50.0,-55.0,-10.0,-4.272,-0.671,0.183,0.0,0.0,0
