No,Temperature,Pressure,accelX,accelY,accelZ,magX,magY,magZ,gyroX,gyroY,gyroZ,gps_latitude,gps_longtitude,gps_time,highte,accel
71,27.2,100513.0,-0.322,0.076,-0.87,-50.0,-55.0,-10.0,0.244,46.264,-60.058,0.0,0.0,0,70.77732317696474,0.43318
72,27.2,100518.0,-0.321,0.124,-0.981,-50.0,-55.0,-10.0,-48.522,15.441,-15.258,0.0,0.0,0,70.3394221897156,0.540389
73,27.2,100517.0,-0.352,0.06,-1.092,-50.0,-55.0,-10.0,-20.996,25.085,9.155,0.0,0.0,0,70.42700031308667,0.6599840000000001
74,27.2,100514.0,-0.276,0.06,-1.237,-50.0,-55.0,-10.0,18.249,13.854,17.15,0.0,0.0,0,70.68974090538691,0.8049725000000002
75,27.2,100516.0,-0.346,0.212,-1.24,-50.0,-55.0,-10.0,28.93,13.122,5.676,0.0,0.0,0,70.51457947347352,0.85113
76,27.2,100521.0,-0.331,0.063,-1.156,-50.0,-55.0,-10.0,-0.915,11.901,18.92,0.0,0.0,0,70.07669404151237,0.7249329999999998
77,27.2,100514.0,-0.36,0.123,-1.105,-50.0,-55.0,-10.0,-10.437,-3.54,17.944,0.0,0.0,0,70.68974090538691,0.682877
78,27.2,100516.0,-0.35,0.126,-1.074,-50.0,-55.0,-10.0,-31.372,8.911,18.371,0.0,0.0,0,70.51457947347352,0.6459260000000001
79,27.2,100512.0,-0.393,0.01,-0.952,-50.0,-55.0,-10.0,-28.015,-13.427,15.136,0.0,0.0,0,70.86490648566097,0.5304264999999999
80,27.2,100511.0,-0.273,0.003,-0.93,-50.0,-55.0,-10.0,-1.525,-6.896,23.925,0.0,0.0,0,70.95249083147554,0.46971900000000005
81,27.2,100504.0,-0.211,-0.053,-0.874,-50.0,-55.0,-10.0,-7.873,-8.85,9.277,0.0,0.0,0,71.5656102938317,0.405603
82,27.2,100502.0,-0.194,-0.055,-0.864,-50.0,-55.0,-10.0,-1.831,-7.263,-3.906,0.0,0.0,0,71.74079661855619,0.39357849999999994
83,27.2,100501.0,-0.217,-0.025,-0.863,-50.0,-55.0,-10.0,3.906,-9.765,-18.798,0.0,0.0,0,71.82839133694998,0.3962415
84,27.2,100497.0,-0.208,-0.012,-0.753,-50.0,-55.0,-10.0,-21.057,-10.559,-9.216,0.0,0.0,0,72.17878058453047,0.3052085
85,27.2,100501.0,-0.246,0.005,-0.695,-50.0,-55.0,-10.0,-20.874,-7.568,-4.638,0.0,0.0,0,71.82839133694998,0.27178299999999994
86,27.2,100500.0,-0.323,-0.07,-0.758,-50.0,-55.0,-10.0,7.507,-4.211,15.014,0.0,0.0,0,71.91598709271865,0.3418965
87,27.2,100503.0,-0.411,-0.076,-0.854,-50.0,-55.0,-10.0,7.202,-5.737,-1.342,0.0,0.0,0,71.65320293752703,0.4520065
88,27.2,100506.0,-0.359,-0.037,-0.771,-50.0,-55.0,-10.0,-31.005,-11.474,-4.028,0.0,0.0,0,71.39042811836052,0.3623455
89,27.2,100503.0,-0.338,-0.049,-0.833,-50.0,-55.0,-10.0,-3.54,-9.826,28.442,0.0,0.0,0,71.65320293752703,0.405267
90,27.2,100500.0,-0.358,-0.084,-0.881,-50.0,-55.0,-10.0,-12.573,0.122,9.033,0.0,0.0,0,71.91598709271865,0.4556905
91,27.2,100507.0,-0.333,-0.126,-0.825,-50.0,-55.0,-10.0,-11.718,5.187,4.699,0.0,0.0,0,71.30283858654361,0.40369499999999997
92,27.2,100511.0,-0.355,-0.076,-0.96,-50.0,-55.0,-10.0,10.864,-6.469,0.793,0.0,0.0,0,70.95249083147554,0.5267005
93,27.2,100504.0,-0.342,-0.117,-0.962,-50.0,-55.0,-10.0,-16.418,6.408,4.76,0.0,0.0,0,71.5656102938317,0.5280484999999999
94,27.2,100509.0,-0.365,-0.173,-0.891,-50.0,-55.0,-10.0,-16.174,-7.812,4.089,0.0,0.0,0,71.12766263461378,0.47851750000000004
95,27.2,100501.0,-0.312,-0.186,-0.934,-50.0,-55.0,-10.0,6.713,10.925,16.723,0.0,0.0,0,71.82839133694998,0.502148
96,27.2,100499.0,-0.29,-0.146,-0.931,-50.0,-55.0,-10.0,-23.01,-3.479,-1.586,0.0,0.0,0,72.00358388588272,0.48608850000000003
97,27.2,100503.0,-0.349,-0.202,-0.841,-50.0,-55.0,-10.0,-20.202,-5.737,-3.112,0.0,0.0,0,71.65320293752703,0.43494299999999997
98,27.2,100503.0,-0.352,-0.133,-0.898,-50.0,-55.0,-10.0,19.897,14.831,3.051,0.0,0.0,0,71.65320293752703,0.4739985
99,27.2,100500.0,-0.347,-0.169,-0.807,-50.0,-55.0,-10.0,-27.099,-48.583,-31.982,0.0,0.0,0,71.91598709271865,0.4001095
100,27.2,100509.0,-0.26,-0.237,-0.46,-50.0,-55.0,-10.0,49.011,9.948,7.934,0.0,0.0,0,71.12766263461378,0.16768450000000001
101,27.2,100502.0,-0.235,-0.139,-0.067,-50.0,-55.0,-10.0,26.0,81.848,11.901,0.0,0.0,0,71.74079661855619,0.039517500000000004
102,27.2,100507.0,-0.089,-0.016,-0.14,-50.0,-55.0,-10.0,30.334,25.39,-27.893,0.0,0.0,0,71.30283858654361,0.013888500000000002
103,27.2,100499.0,-0.04,0.078,-0.2,-50.0,-55.0,-10.0,-67.077,-59.387,-59.326,0.0,0.0,0,72.00358388588272,0.023842000000000002
104,27.2,100503.0,0.032,0.011,-0.087,-50.0,-55.0,-10.0,-54.199,10.07,3.845,0.0,0.0,0,71.65320293752703,0.004357
105,27.2,100495.0,0.143,0.138,-0.343,-50.0,-55.0,-10.0,9.582,-18.188,41.076,0.0,0.0,0,72.35398143306766,0.078571
106,27.2,100505.0,0.306,0.256,-0.724,-50.0,-55.0,-10.0,-28.442,-122.192,26.611,0.0,0.0,0,71.4780186874497,0.341674
107,27.2,100507.0,0.581,0.47,-1.153,-50.0,-55.0,-10.0,25.695,-10.925,36.01,0.0,0.0,0,71.30283858654361,0.943935
108,27.2,100518.0,0.212,-0.005,-2.689,-50.0,-55.0,-10.0,94.421,-80.993,18.737,0.0,0.0,0,70.3394221897156,3.637845
109,27.2,100515.0,-0.26,0.077,-2.832,-50.0,-55.0,-10.0,2.807,16.357,4.333,0.0,0.0,0,70.60215967089668,4.0468765
110,27.2,100524.0,-0.026,0.121,-1.328,-50.0,-55.0,-10.0,-33.203,84.411,32.592,0.0,0.0,0,69.81397522566111,0.8894505000000001
111,27.2,100518.0,0.095,0.326,-1.269,-50.0,-55.0,-10.0,50.231,-144.531,-39.123,0.0,0.0,0,70.3394221897156,0.8628309999999999
112,27.2,100524.0,-0.208,0.135,-1.166,-50.0,-55.0,-10.0,31.494,68.847,-64.758,0.0,0.0,0,69.81397522566111,0.7105224999999998
113,27.2,100519.0,-0.083,0.112,-0.98,-50.0,-55.0,-10.0,-12.695,19.104,23.01,0.0,0.0,0,70.25184510335004,0.4899165
114,27.2,100525.0,-0.001,0.193,-0.836,-50.0,-55.0,-10.0,-25.756,8.483,4.333,0.0,0.0,0,69.72640436079514,0.368073
115,27.2,100519.0,-0.009,0.156,-0.952,-50.0,-55.0,-10.0,19.958,26.916,5.737,0.0,0.0,0,70.25184510335004,0.46536049999999995
116,27.2,100525.0,0.084,0.234,-1.059,-50.0,-55.0,-10.0,-8.178,-17.822,35.522,0.0,0.0,0,69.72640436079514,0.5916465
117,27.2,100519.0,0.084,0.101,-0.921,-50.0,-55.0,-10.0,-22.521,11.047,15.319,0.0,0.0,0,70.25184510335004,0.432749
118,27.2,100510.0,-0.001,0.081,-1.043,-50.0,-55.0,-10.0,20.446,-6.652,-5.371,0.0,0.0,0,71.04007621445983,0.5472054999999999
119,27.2,100519.0,0.005,0.178,-1.001,-50.0,-55.0,-10.0,3.295,16.357,-10.986,0.0,0.0,0,70.25184510335004,0.5168549999999998
120,27.2,100512.0,-0.029,0.168,-1.109,-50.0,-55.0,-10.0,-2.929,-20.935,-2.502,0.0,0.0,0,70.86490648566097,0.629473
121,27.2,100515.0,-0.117,0.119,-1.576,-50.0,-55.0,-10.0,-9.033,0.732,-16.845,0.0,0.0,0,70.60215967089668,1.255813
122,27.2,100508.0,-0.118,0.1,-1.728,-50.0,-55.0,-10.0,-71.35,50.964,-9.033,0.0,0.0,0,71.21525009196822,1.504954
123,27.2,100515.0,-0.245,-0.035,-1.752,-50.0,-55.0,-10.0,-62.194,46.142,-40.039,0.0,0.0,0,70.60215967089668,1.565377
124,27.2,100515.0,-0.2,-0.059,-1.72,-50.0,-55.0,-10.0,-60.18,64.392,-13.061,0.0,0.0,0,70.60215967089668,1.5009404999999998
125,27.2,100519.0,-0.159,-0.166,-1.458,-50.0,-55.0,-10.0,-113.586,21.423,-41.992,0.0,0.0,0,70.25184510335004,1.0893004999999998
126,27.2,100515.0,-0.044,-0.21,-1.148,-50.0,-55.0,-10.0,-58.105,10.314,-45.043,0.0,0.0,0,70.60215967089668,0.6819699999999999
127,27.2,100512.0,-0.045,-0.092,-0.529,-50.0,-55.0,-10.0,-3.845,19.958,-22.338,0.0,0.0,0,70.86490648566097,0.145165
128,27.2,100503.0,-0.064,-0.011,-0.407,-50.0,-55.0,-10.0,70.739,3.845,-6.896,0.0,0.0,0,71.65320293752703,0.084933
129,27.2,100507.0,-0.266,-0.073,-0.537,-50.0,-55.0,-10.0,69.396,12.084,1.708,0.0,0.0,0,71.30283858654361,0.18222700000000003
130,27.2,100503.0,-0.211,-0.051,-0.704,-50.0,-55.0,-10.0,58.166,-52.001,35.522,0.0,0.0,0,71.65320293752703,0.27136899999999997
131,27.2,100504.0,-0.163,0.127,-0.587,-50.0,-55.0,-10.0,41.809,48.217,37.719,0.0,0.0,0,71.5656102938317,0.1936335
132,27.2,100504.0,-0.1,0.105,-0.609,-50.0,-55.0,-10.0,-34.545,-18.554,27.038,0.0,0.0,0,71.5656102938317,0.195953
133,27.2,100504.0,-0.218,-0.006,-0.593,-50.0,-55.0,-10.0,-28.564,-32.226,3.601,0.0,0.0,0,71.5656102938317,0.1996045
134,27.2,100509.0,-0.173,0.079,-0.665,-50.0,-55.0,-10.0,13.793,41.931,54.931,0.0,0.0,0,71.12766263461378,0.2391975
135,27.2,100509.0,-0.273,0.032,-0.729,-50.0,-55.0,-10.0,-24.169,-30.151,5.493,0.0,0.0,0,71.12766263461378,0.30349699999999996
136,27.2,100502.0,-0.308,-0.034,-0.76,-50.0,-55.0,-10.0,-23.193,4.333,13.854,0.0,0.0,0,71.74079661855619,0.33681
137,27.2,100499.0,-0.322,-0.043,-0.804,-50.0,-55.0,-10.0,-11.23,-3.601,19.226,0.0,0.0,0,72.00358388588272,0.37597450000000004
138,27.2,100504.0,-0.302,-0.021,-0.937,-50.0,-55.0,-10.0,-2.746,-21.118,16.357,0.0,0.0,0,71.5656102938317,0.48480700000000004
139,27.2,100502.0,-0.271,-0.118,-0.955,-50.0,-55.0,-10.0,-2.868,21.301,15.258,0.0,0.0,0,71.74079661855619,0.499695
140,27.2,100507.0,-0.203,-0.058,-0.893,-50.0,-55.0,-10.0,-4.943,2.624,13.671,0.0,0.0,0,71.30283858654361,0.421011
141,27.2,100501.0,-0.31,-0.083,-0.953,-50.0,-55.0,-10.0,19.836,-0.732,-1.708,0.0,0.0,0,71.82839133694998,0.505599
142,27.2,100496.0,-0.288,-0.009,-0.988,-50.0,-55.0,-10.0,-5.676,-7.019,-6.958,0.0,0.0,0,72.2663804900552,0.5295845
143,27.2,100510.0,-0.256,-0.065,-0.962,-50.0,-55.0,-10.0,-15.319,-9.765,-7.568,0.0,0.0,0,71.04007621445983,0.49760249999999995
